Processor,"Card Type","Merchant Group",Customers,"Attempted Captured Charges","Declined Captured Charges","Decline Capture Rate","Declined Net Product Revenue","Successful Captured Charges","Successful Capture Rate","Success Gross Product Revenue","Rewards Applied","Discounts Applied","Discount Rate","Successful Net Product Revenue","Shipping Revenue","Tax Collected","Gift Cards Applied",Revenue,Processed,Adjustments,"Adjustment Rate","Successful Refunds","Declined Refunds","Refund Rate","Refunded Revenue","Refunded Revenue Rate","Full Refunds","Full Refund Rate","Partial Refunds","Partial Refund Rate","Successful Voids","Declined Voids","Void Rate","Voided Revenue","Voided Revenue Rate",Chargebacks,"Chargeback Rate","Chargeback Revenue","Chargeback Revenue Rate",Alerts,"Alert Rate","Alert Revenue","Alert Revenue Rate","Net Revenue","Cost of Revenue","Cost of Goods Sold","Ad Spend","Chargeback Fees","Alert Fees","Processing Fees",Profit,"Profit Margin"
NETEVIA,Visa,DiamondSphereLLC,"2,610","2,589","2,025",78.22%,"$85,108.20",564,21.78%,"$13,901.60",$0.00,$0.00,0.00%,"$13,901.60",$0.00,$0.00,$0.00,"$13,901.60","$13,901.60","$2,742.52",19.73%,11,0,1.95%,$293.16,2.11%,9,81.82%,2,18.18%,5,1,0.89%,$64.45,0.46%,3,0.53%,$38.67,0.28%,53,9.40%,"$2,346.24",16.88%,"$11,159.08","$1,270.65",$0.00,$0.00,$60.00,$0.00,"$1,210.65","$9,888.43",71.13%
NETEVIA,Visa,PrimeSmartSolutionsLLC,"1,657","1,654","1,441",87.12%,"$79,913.03",213,12.88%,"$8,763.69",$0.00,$0.00,0.00%,"$8,763.69",$0.00,$0.00,$0.00,"$8,763.69","$8,763.69","$2,804.17",32.00%,8,0,3.76%,$590.13,6.73%,6,75.00%,2,25.00%,4,1,1.88%,$121.46,1.39%,1,0.47%,$12.89,0.15%,28,13.15%,"$2,079.69",23.73%,"$5,959.52",$788.24,$0.00,$0.00,$20.00,$0.00,$768.24,"$5,171.28",59.01%
NETEVIA,Visa,SpecifiConLLC,"2,099","2,084","1,573",75.48%,"$57,376.61",511,24.52%,"$10,005.21",$0.00,$0.00,0.00%,"$10,005.21",$0.00,$0.00,$0.00,"$10,005.21","$10,005.21","$2,092.04",20.91%,13,0,2.54%,$343.92,3.44%,11,84.62%,2,15.38%,6,2,1.17%,$83.40,0.83%,4,0.78%,$143.62,1.44%,42,8.22%,"$1,521.10",15.20%,"$7,913.17",$994.91,$0.00,$0.00,$80.00,$0.00,$914.91,"$6,918.26",69.15%
NETEVIA,Visa,UniquePlusLLC,"1,706","1,703","1,439",84.50%,"$68,949.69",264,15.50%,"$7,997.41",$0.00,$0.00,0.00%,"$7,997.41",$0.00,$0.00,$0.00,"$7,997.41","$7,997.41","$1,194.02",14.93%,10,0,3.79%,$449.37,5.62%,5,50.00%,5,50.00%,7,0,2.65%,$96.29,1.20%,0,0.00%,$0.00,0.00%,16,6.06%,$648.36,8.11%,"$6,803.39",$739.56,$0.00,$0.00,$0.00,$0.00,$739.56,"$6,063.83",75.82%
PAYARC,Mastercard,BrightAdvantageLLC,513,475,269,56.63%,"$14,271.08",206,43.37%,"$12,150.58",$0.00,$0.00,0.00%,"$12,150.58",$0.00,$0.00,$0.00,"$12,150.58","$12,150.58","$5,314.76",43.74%,2,0,0.97%,$148.33,1.22%,1,50.00%,1,50.00%,2,0,0.97%,$25.78,0.21%,6,2.91%,$542.29,4.46%,64,31.07%,"$4,598.36",37.84%,"$6,835.82",$833.68,$0.00,$0.00,$132.00,$0.00,$701.68,"$6,002.14",49.40%
PAYARC,Mastercard,DiamondSphereLLC,413,400,243,60.75%,"$8,786.47",157,39.25%,"$5,671.53",$0.00,$0.00,0.00%,"$5,671.53",$0.00,$0.00,$0.00,"$5,671.53","$5,671.53","$1,914.62",33.76%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,2,0,1.27%,$25.78,0.45%,7,4.46%,$641.18,11.31%,21,13.38%,"$1,247.66",22.00%,"$3,756.91",$516.93,$0.00,$0.00,$154.00,$0.00,$362.93,"$3,239.98",57.13%
PAYARC,Mastercard,PrimeSmartSolutionsLLC,852,812,468,57.64%,"$19,324.60",344,42.36%,"$13,651.34",$0.00,$0.00,0.00%,"$13,651.34",$0.00,$0.00,$0.00,"$13,651.34","$13,651.34","$4,348.14",31.85%,1,0,0.29%,$98.89,0.72%,1,100.00%,0,0.00%,4,0,1.16%,$51.56,0.38%,7,2.03%,$475.24,3.48%,76,22.09%,"$3,722.45",27.27%,"$9,303.20",$997.69,$0.00,$0.00,$154.00,$0.00,$843.69,"$8,305.51",60.84%
PAYARC,Mastercard,SalesShield,913,940,918,97.66%,"$84,603.97",22,2.34%,"$2,022.43",$0.00,$0.00,0.00%,"$2,022.43",$0.00,$0.00,$0.00,"$2,022.43","$2,022.43",$0.00,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$2,022.43",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,022.43",100.00%
PAYARC,Mastercard,SpecifiConLLC,501,496,330,66.53%,"$11,129.59",166,33.47%,"$5,769.79",$0.00,$0.00,0.00%,"$5,769.79",$0.00,$0.00,$0.00,"$5,769.79","$5,769.79","$1,699.45",29.45%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,2,0,1.20%,$25.78,0.45%,2,1.20%,$146.73,2.54%,29,17.47%,"$1,526.94",26.46%,"$4,070.34",$431.19,$0.00,$0.00,$44.00,$0.00,$387.19,"$3,639.15",63.07%
PAYARC,Mastercard,UniquePlusLLC,203,188,107,56.91%,"$6,984.75",81,43.09%,"$6,187.72",$0.00,$0.00,0.00%,"$6,187.72",$0.00,$0.00,$0.00,"$6,187.72","$6,187.72","$2,296.68",37.12%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,28,34.57%,"$2,296.68",37.12%,"$3,891.04",$346.72,$0.00,$0.00,$0.00,$0.00,$346.72,"$3,544.32",57.28%
PAYARC,Visa,BrightAdvantageLLC,"1,056","1,046",823,78.68%,"$42,588.41",223,21.32%,"$6,560.04",$0.00,$0.00,0.00%,"$6,560.04",$0.00,$0.00,$0.00,"$6,560.04","$6,560.04","$1,329.88",20.27%,10,0,4.48%,$572.18,8.72%,8,80.00%,2,20.00%,4,2,1.79%,$137.56,2.10%,0,0.00%,$0.00,0.00%,16,7.17%,$620.14,9.45%,"$5,230.16",$536.34,$0.00,$0.00,$0.00,$0.00,$536.34,"$4,693.82",71.55%
PAYARC,Visa,DiamondSphereLLC,921,915,735,80.33%,"$23,469.93",180,19.67%,"$4,462.24",$0.00,$0.00,0.00%,"$4,462.24",$0.00,$0.00,$0.00,"$4,462.24","$4,462.24",$609.36,13.66%,3,0,1.67%,$75.22,1.69%,2,66.67%,1,33.33%,4,0,2.22%,$51.56,1.16%,0,0.00%,$0.00,0.00%,12,6.67%,$482.58,10.81%,"$3,852.88",$405.34,$0.00,$0.00,$0.00,$0.00,$405.34,"$3,447.54",77.26%
PAYARC,Visa,PrimeSmartSolutionsLLC,"1,868","1,859","1,482",79.72%,"$56,086.06",377,20.28%,"$10,444.48",$0.00,$0.00,0.00%,"$10,444.48",$0.00,$0.00,$0.00,"$10,444.48","$10,444.48","$1,949.85",18.67%,6,0,1.59%,$209.32,2.00%,5,83.33%,1,16.67%,8,0,2.12%,$103.12,0.99%,0,0.00%,$0.00,0.00%,32,8.49%,"$1,637.41",15.68%,"$8,494.63",$892.68,$0.00,$0.00,$0.00,$0.00,$892.68,"$7,601.95",72.78%
PAYARC,Visa,SalesShield,"1,762","1,779","1,718",96.57%,"$164,992.22",61,3.43%,"$5,368.64",$0.00,$0.00,0.00%,"$5,368.64",$0.00,$0.00,$0.00,"$5,368.64","$5,368.64",$98.89,1.84%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,1,0,1.64%,$98.89,1.84%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$5,269.75",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$5,269.75",98.16%
PAYARC,Visa,SpecifiConLLC,"1,307","1,302","1,070",82.18%,"$32,514.63",232,17.82%,"$5,120.17",$0.00,$0.00,0.00%,"$5,120.17",$0.00,$0.00,$0.00,"$5,120.17","$5,120.17",$979.43,19.13%,6,0,2.59%,$166.42,3.25%,3,50.00%,3,50.00%,2,0,0.86%,$31.84,0.62%,0,0.00%,$0.00,0.00%,19,8.19%,$781.17,15.26%,"$4,140.74",$515.97,$0.00,$0.00,$0.00,$0.00,$515.97,"$3,624.77",70.79%
PAYARC,Visa,UniquePlusLLC,370,364,321,88.19%,"$20,474.61",43,11.81%,"$2,447.30",$0.00,$0.00,0.00%,"$2,447.30",$0.00,$0.00,$0.00,"$2,447.30","$2,447.30",$988.90,40.41%,2,0,4.65%,$197.78,8.08%,2,100.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,1,2.33%,$98.89,4.04%,7,16.28%,$692.23,28.29%,"$1,458.40",$217.10,$0.00,$0.00,$22.00,$0.00,$195.10,"$1,241.30",50.72%
PAYSAFE,Mastercard,BrightAdvantageLLC,240,233,152,65.24%,"$2,880.80",81,34.76%,"$1,441.22",$0.00,$0.00,0.00%,"$1,441.22",$0.00,$0.00,$0.00,"$1,441.22","$1,441.22",$254.36,17.65%,1,0,1.23%,$4.51,0.31%,0,0.00%,1,100.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,10,12.35%,$249.85,17.34%,"$1,186.86",$118.32,$0.00,$0.00,$0.00,$0.00,$118.32,"$1,068.54",74.14%
PAYSAFE,Mastercard,DiamondSphereLLC,256,254,169,66.54%,"$2,451.11",85,33.46%,"$1,132.01",$0.00,$0.00,0.00%,"$1,132.01",$0.00,$0.00,$0.00,"$1,132.01","$1,132.01",$150.96,13.34%,1,1,1.18%,$12.89,1.14%,1,100.00%,0,0.00%,1,0,1.18%,$12.89,1.14%,0,0.00%,$0.00,0.00%,7,8.24%,$125.18,11.06%,$981.05,$107.06,$0.00,$0.00,$0.00,$0.00,$107.06,$873.99,77.21%
PAYSAFE,Mastercard,PrimeSmartSolutionsLLC,533,530,413,77.92%,"$9,133.93",117,22.08%,"$3,109.51",$0.00,$0.00,0.00%,"$3,109.51",$0.00,$0.00,$0.00,"$3,109.51","$3,109.51",$245.97,7.91%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,2,0,1.71%,$111.78,3.59%,0,0.00%,$0.00,0.00%,9,7.69%,$134.19,4.32%,"$2,863.54",$261.11,$0.00,$0.00,$0.00,$0.00,$261.11,"$2,602.43",83.69%
PAYSAFE,Mastercard,SpecifiConLLC,262,261,194,74.33%,"$3,438.40",67,25.67%,$959.18,$0.00,$0.00,0.00%,$959.18,$0.00,$0.00,$0.00,$959.18,$959.18,$38.67,4.03%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,1,0,1.49%,$12.89,1.34%,0,0.00%,$0.00,0.00%,2,2.99%,$25.78,2.69%,$920.51,$99.93,$0.00,$0.00,$0.00,$0.00,$99.93,$820.58,85.55%
PAYSAFE,Mastercard,UniquePlusLLC,2,2,2,100.00%,$37.90,0,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$0.00,$0.40,$0.00,$0.00,$0.00,$0.00,$0.40,$-0.40,0.00%
PAYSAFE,Visa,BrightAdvantageLLC,680,676,545,80.62%,"$7,864.31",131,19.38%,"$1,980.38",$0.00,$0.00,0.00%,"$1,980.38",$0.00,$0.00,$0.00,"$1,980.38","$1,980.38",$109.57,5.53%,2,0,1.53%,$19.34,0.98%,1,50.00%,1,50.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,7,5.34%,$90.23,4.56%,"$1,870.81",$233.73,$0.00,$0.00,$0.00,$0.00,$233.73,"$1,637.08",82.66%
PAYSAFE,Visa,DiamondSphereLLC,693,691,517,74.82%,"$7,179.23",174,25.18%,"$2,370.12",$0.00,$0.00,0.00%,"$2,370.12",$0.00,$0.00,$0.00,"$2,370.12","$2,370.12",$102.35,4.32%,2,2,1.15%,$25.78,1.09%,2,100.00%,0,0.00%,3,0,1.72%,$38.67,1.63%,0,0.00%,$0.00,0.00%,2,1.15%,$37.90,1.60%,"$2,267.77",$256.07,$0.00,$0.00,$0.00,$0.00,$256.07,"$2,011.70",84.88%
PAYSAFE,Visa,PrimeSmartSolutionsLLC,"1,439","1,440","1,098",76.25%,"$19,255.91",342,23.75%,"$6,116.53",$0.00,$0.00,0.00%,"$6,116.53",$0.00,$0.00,$0.00,"$6,116.53","$6,116.53",$207.00,3.38%,7,1,2.05%,$130.43,2.13%,4,57.14%,3,42.86%,2,0,0.58%,$31.84,0.52%,2,0.58%,$31.84,0.52%,1,0.29%,$12.89,0.21%,"$5,909.53",$663.13,$0.00,$0.00,$70.00,$0.00,$593.13,"$5,246.40",85.77%
PAYSAFE,Visa,SpecifiConLLC,793,792,583,73.61%,"$9,837.80",209,26.39%,"$3,065.50",$0.00,$0.00,0.00%,"$3,065.50",$0.00,$0.00,$0.00,"$3,065.50","$3,065.50",$313.27,10.22%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,5,0,2.39%,$70.51,2.30%,0,0.00%,$0.00,0.00%,12,5.74%,$242.76,7.92%,"$2,752.23",$311.05,$0.00,$0.00,$0.00,$0.00,$311.05,"$2,441.18",79.63%
PAYSAFE,Visa,UniquePlusLLC,6,5,5,100.00%,$94.75,0,0.00%,$0.00,$0.00,$0.00,0.00%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$12.89,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,1,0.00%,$12.89,0.00%,$-12.89,$1.00,$0.00,$0.00,$0.00,$0.00,$1.00,$-13.89,0.00%
PRIORITY,Mastercard,BrightAdvantageLLC,954,915,569,62.19%,"$23,395.67",346,37.81%,"$15,202.63",$0.00,$0.00,0.00%,"$15,202.63",$0.00,$0.00,$0.00,"$15,202.63","$15,202.63","$5,158.95",33.93%,5,0,1.45%,$359.00,2.36%,4,80.00%,1,20.00%,3,0,0.87%,$38.67,0.25%,10,2.89%,$835.75,5.50%,67,19.36%,"$3,925.53",25.82%,"$10,043.68","$1,291.83",$0.00,$0.00,$350.00,$0.00,$941.83,"$8,751.85",57.57%
PRIORITY,Mastercard,DiamondSphereLLC,770,735,409,55.65%,"$18,227.02",326,44.35%,"$15,139.97",$0.00,$0.00,0.00%,"$15,139.97",$0.00,$0.00,$0.00,"$15,139.97","$15,139.97","$5,964.46",39.40%,2,0,0.61%,$62.34,0.41%,1,50.00%,1,50.00%,1,1,0.31%,$12.89,0.09%,5,1.53%,$408.45,2.70%,83,25.46%,"$5,480.78",36.20%,"$9,175.51","$1,077.62",$0.00,$0.00,$175.00,$0.00,$902.62,"$8,097.89",53.49%
PRIORITY,Mastercard,PrimeSmartSolutionsLLC,854,824,435,52.79%,"$18,965.04",389,47.21%,"$15,864.70",$0.00,$0.00,0.00%,"$15,864.70",$0.00,$0.00,$0.00,"$15,864.70","$15,864.70","$4,431.81",27.94%,3,0,0.77%,$159.62,1.01%,3,100.00%,0,0.00%,5,0,1.29%,$64.45,0.41%,3,0.77%,$245.62,1.55%,70,17.99%,"$3,962.12",24.97%,"$11,432.89","$1,061.40",$0.00,$0.00,$105.00,$0.00,$956.40,"$10,371.49",65.37%
PRIORITY,Mastercard,SpecifiConLLC,496,464,245,52.80%,"$17,296.42",219,47.20%,"$16,310.73",$0.00,$0.00,0.00%,"$16,310.73",$0.00,$0.00,$0.00,"$16,310.73","$16,310.73","$4,630.56",28.39%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,1,0,0.46%,$98.89,0.61%,4,1.83%,$395.56,2.43%,59,26.94%,"$4,136.11",25.36%,"$11,680.17","$1,047.48",$0.00,$0.00,$140.00,$0.00,$907.48,"$10,632.69",65.19%
PRIORITY,Mastercard,UniquePlusLLC,801,762,455,59.71%,"$19,914.40",307,40.29%,"$15,409.83",$0.00,$0.00,0.00%,"$15,409.83",$0.00,$0.00,$0.00,"$15,409.83","$15,409.83","$5,403.64",35.07%,2,0,0.65%,$31.84,0.21%,2,100.00%,0,0.00%,2,0,0.65%,$111.78,0.73%,6,1.95%,$440.19,2.86%,78,25.41%,"$4,819.83",31.28%,"$10,006.19","$1,131.63",$0.00,$0.00,$210.00,$0.00,$921.63,"$8,874.56",57.59%
PRIORITY,Visa,BrightAdvantageLLC,"1,537","1,537","1,253",81.52%,"$20,024.05",284,18.48%,"$4,148.80",$0.00,$0.00,0.00%,"$4,148.80",$0.00,$0.00,$0.00,"$4,148.80","$4,148.80",$77.34,1.86%,4,0,1.41%,$51.56,1.24%,4,100.00%,0,0.00%,2,1,0.70%,$25.78,0.62%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$4,071.46",$514.05,$0.00,$0.00,$0.00,$0.00,$514.05,"$3,557.41",85.75%
PRIORITY,Visa,DiamondSphereLLC,"1,084","1,083",874,80.70%,"$11,550.68",209,19.30%,"$2,700.07",$0.00,$0.00,0.00%,"$2,700.07",$0.00,$0.00,$0.00,"$2,700.07","$2,700.07",$150.96,5.59%,1,0,0.48%,$12.89,0.48%,1,100.00%,0,0.00%,7,0,3.35%,$90.23,3.34%,1,0.48%,$47.84,1.77%,0,0.00%,$0.00,0.00%,"$2,549.11",$385.67,$0.00,$0.00,$35.00,$0.00,$350.67,"$2,163.44",80.13%
PRIORITY,Visa,PrimeSmartSolutionsLLC,"1,303","1,302",980,75.27%,"$14,470.33",322,24.73%,"$4,405.52",$0.00,$0.00,0.00%,"$4,405.52",$0.00,$0.00,$0.00,"$4,405.52","$4,405.52",$128.70,2.92%,6,0,1.86%,$77.14,1.75%,5,83.33%,1,16.67%,4,0,1.24%,$51.56,1.17%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$4,276.82",$479.37,$0.00,$0.00,$0.00,$0.00,$479.37,"$3,797.45",86.20%
PRIORITY,Visa,SpecifiConLLC,286,286,227,79.37%,"$3,289.63",59,20.63%,$875.65,$0.00,$0.00,0.00%,$875.65,$0.00,$0.00,$0.00,$875.65,$875.65,$18.95,2.16%,1,0,1.69%,$18.95,2.16%,1,100.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,$856.70,$100.85,$0.00,$0.00,$0.00,$0.00,$100.85,$755.85,86.32%
PRIORITY,Visa,UniquePlusLLC,"1,165","1,165",937,80.43%,"$13,102.07",228,19.57%,"$3,132.84",$0.00,$0.00,0.00%,"$3,132.84",$0.00,$0.00,$0.00,"$3,132.84","$3,132.84",$102.35,3.27%,4,0,1.75%,$51.56,1.65%,4,100.00%,0,0.00%,3,1,1.32%,$50.79,1.62%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$3,030.49",$388.84,$0.00,$0.00,$0.00,$0.00,$388.84,"$2,641.65",84.32%
PayArc,Mastercard,,621,630,607,96.35%,"$56,095.38",23,3.65%,"$2,172.37",$0.00,$0.00,0.00%,"$2,172.37",$0.00,$0.00,$0.00,"$2,172.37","$2,172.37",$98.89,4.55%,1,0,4.35%,$98.89,4.55%,1,100.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$2,073.48",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$2,073.48",95.45%
PayArc,Visa,,"1,150","1,153","1,077",93.41%,"$104,360.43",76,6.59%,"$7,056.19",$0.00,$0.00,0.00%,"$7,056.19",$0.00,$0.00,$0.00,"$7,056.19","$7,056.19",$0.00,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,0,0.00%,0,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,0,0.00%,$0.00,0.00%,"$7,056.19",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$7,056.19",100.00%
QUANTUM,Mastercard,BrightAdvantageLLC,"1,134","1,089",644,59.14%,"$29,990.41",445,40.86%,"$19,882.86",$0.00,$0.00,0.00%,"$19,882.86",$0.00,$0.00,$0.00,"$19,882.86","$19,882.86","$6,205.56",31.21%,6,1,1.35%,$389.14,1.96%,6,100.00%,0,0.00%,1,0,0.22%,$12.89,0.06%,8,1.80%,$345.02,1.74%,110,24.72%,"$5,458.51",27.45%,"$13,677.30","$1,490.51",$0.00,$0.00,$280.00,$0.00,"$1,210.51","$12,186.79",61.29%
QUANTUM,Mastercard,DiamondSphereLLC,"1,244","1,204",704,58.47%,"$31,501.99",500,41.53%,"$21,336.58",$0.00,$0.00,0.00%,"$21,336.58",$0.00,$0.00,$0.00,"$21,336.58","$21,336.58","$6,471.22",30.33%,4,2,0.80%,$244.01,1.14%,3,75.00%,1,25.00%,3,0,0.60%,$38.67,0.18%,6,1.20%,$440.19,2.06%,112,22.40%,"$5,748.35",26.94%,"$14,865.36","$1,515.98",$0.00,$0.00,$210.00,$0.00,"$1,305.98","$13,349.38",62.57%
